pts_ra_HOME,fga_ra_HOME,fg3a_ra_HOME,fta_ra_HOME,oreb_ra_HOME,dreb_ra_HOME,asts_ra_HOME,stls_ra_HOME,blks_ra_HOME,tos_ra_HOME,FG_pct_ra_HOME,FG3_pct_ra_HOME,FT_pct_ra_HOME,pts_ra_AWAY,fga_ra_AWAY,fg3a_ra_AWAY,fta_ra_AWAY,oreb_ra_AWAY,dreb_ra_AWAY,asts_ra_AWAY,stls_ra_AWAY,blks_ra_AWAY,tos_ra_AWAY,FG_pct_ra_AWAY,FG3_pct_ra_AWAY,FT_pct_ra_AWAY,HOME_TEAM_WINS
98,83.66666667,19.33333333,23.66666667,9.666666667,36,25.66666667,8.333333333,3.666666667,16,0.449736553,0.257309942,0.776531089,106,81,26.66666667,27.66666667,5.333333333,36.33333333,26,7.666666667,4.666666667,14,0.460958054,0.376435856,0.773020083,1
97,83.5,21.5,21.75,9.75,34.5,25.5,8.25,4.25,16.75,0.445736149,0.291196742,0.754273317,91.33333333,85,19.33333333,20.33333333,12,33.66666667,21,8,3.333333333,18.66666667,0.423392997,0.225757576,0.696658897,0
98.16666667,84.66666667,22.33333333,23.33333333,10.66666667,35.83333333,25.16666667,7.833333333,5.833333333,15.66666667,0.435106693,0.303478604,0.760208802,104.4,82,22.4,27.6,6.6,37.4,25.4,6.6,4.4,15,0.455782678,0.37034632,0.769943056,1
100,85.125,23.125,21.375,10.625,37.625,26.5,8.125,5.875,16.625,0.447653549,0.325301261,0.753917285,105.125,89.875,23.125,22.5,10.75,32.875,23.75,12.25,3.125,14.75,0.454287781,0.314584529,0.718154271,1
101,84.5,23.5,24.1,10.8,36.8,26.7,8.7,6,15.8,0.449306756,0.321907675,0.730053347,101.8888889,78.11111111,21.88888889,26,8.111111111,31.55555556,23.88888889,9.666666667,3.777777778,18.33333333,0.470836922,0.379039073,0.772574728,1
102.3636364,84.54545455,24.27272727,24.54545455,10.72727273,35.90909091,27,8.818181818,5.545454545,16,0.452310955,0.323893341,0.735785175,106.3846154,87.07692308,28.84615385,26,10.23076923,31.76923077,20.92307692,9.923076923,4.153846154,16.61538462,0.448321109,0.339029641,0.723782554,0
102.3076923,84.46153846,24,25.38461538,10.84615385,35.61538462,26.76923077,9.692307692,5.384615385,16.38461538,0.453105726,0.320217442,0.716604549,112.25,87.25,36.25,26.5,11.91666667,34.75,23.58333333,7.5,4.5,16.58333333,0.457703607,0.340684314,0.755659558,1
103.6666667,84.13333333,24.06666667,25.4,11,35.8,26.26666667,9,5.4,16.86666667,0.460171425,0.33280914,0.722600486,105.8666667,86.06666667,23.33333333,25.86666667,12.6,35.4,23.86666667,7.4,6.066666667,15.33333333,0.450791728,0.335412526,0.806647156,1
104.5,84.8125,24.5625,24.6875,11.25,35.875,26.5625,9.0625,5.4375,16.8125,0.462989658,0.337399194,0.713152241,96.4375,83.4375,27.625,23.5625,8.9375,34.9375,20.3125,8.125,5.75,18.3125,0.41710282,0.311955312,0.743001602,1
104,83.83333333,24.55555556,24.72222222,10.5,35.5,26.22222222,9.166666667,5.5,16.88888889,0.46424698,0.336879349,0.720311896,98.375,83.75,22.9375,23.3125,10.9375,33.8125,22.3125,9,4.875,15.4375,0.437069461,0.310967664,0.779544692,1
